Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
648c2157508879d5ce660190,5d0792622c41d6000158022e,APPROVED,2023-06-16T08:53:52.291000Z,2023-06-16T09:07:47.563000Z,2023-06-16T09:07:48.298000,2023-06-16T09:07:48.232266Z,836,C14AO3VL,885,52,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
648c21641151d426ae6e81dc,5fefa78a509c7eb209f4b47e,APPROVED,2023-06-16T08:46:31.123000Z,2023-06-16T09:03:43.607000Z,2023-06-16T09:03:44.173000,2023-06-16T09:03:44.102119Z,1033,C14AO3VL,988,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
648c228a748c9b980a6f7d31,6400caf68d8b75041e36f702,APPROVED,2023-06-16T08:51:28.714000Z,2023-06-16T09:34:24.188000Z,2023-06-16T09:34:24.877000,2023-06-16T09:34:24.822395Z,2576,C14AO3VL,219,42,Male,Black,United States,United States,United States,English,No,Full-Time
648c22e21dfcf273a9ba5343,5f4380bb7ca9ca5ca407fc04,APPROVED,2023-06-16T08:53:37.907000Z,2023-06-16T09:10:44.414000Z,2023-06-16T09:10:44.957000,2023-06-16T09:10:44.892737Z,1027,C14AO3VL,603,59,Female,Asian,Sri Lanka,United Kingdom,Sri Lanka,English,No,DATA_EXPIRED
648c234556eb7ef1096f7d75,5b6d79beb89e90000132c09b,REJECTED,2023-06-16T08:54:39.688000Z,2023-06-16T09:12:56.257000Z,2023-06-16T12:52:34.747000Z,2023-06-16T09:12:57.016000Z,1097,NOCODE,420,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
648c23bea4a08a2ba608233f,5ee454ad40c72e152991826e,APPROVED,2023-06-16T08:56:40.778000Z,2023-06-16T09:11:39.999000Z,2023-06-16T09:11:40.532000,2023-06-16T09:11:40.455129Z,900,C14AO3VL,661,50,Male,White,United States,New Zealand,United States,English,No,Full-Time
648c23c1dbb427aeb4272fe3,5c364ce2ba92810001db13e8,APPROVED,2023-06-16T08:56:39.697000Z,2023-06-16T09:09:53.269000Z,2023-06-16T09:09:56.305000,2023-06-16T09:09:56.264519Z,794,C14AO3VL,1441,-2,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
648c242714409f2a18f3c1cf,5c069c1566c9ab0001cd8625,APPROVED,2023-06-16T08:58:23.029000Z,2023-06-16T09:12:35.511000Z,2023-06-16T09:12:36.080000Z,2023-06-16T09:12:36.555784Z,853,C14AO3VL,205,42,Female,White,Australia,United Kingdom,United Kingdom,English,No,Part-Time
648c24ad1401e39c78ffece0,631f2effe49a1006c782c115,APPROVED,2023-06-16T09:00:34.624000Z,2023-06-16T09:14:40.558000Z,2023-06-16T09:14:41.130000,2023-06-16T09:14:41.050629Z,846,C14AO3VL,3,27,Female,Asian,India,United Kingdom,India,English,Yes,Full-Time
648c24c261920b22d081e170,614894e91052a368b434202c,APPROVED,2023-06-16T09:00:52.968000Z,2023-06-16T09:11:54.405000Z,2023-06-16T09:11:55.185000,2023-06-16T09:11:55.118753Z,662,C14AO3VL,589,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
648c24c41401e39c78ffece8,6122b9ffce05d8e56860755a,APPROVED,2023-06-16T09:00:52.420000Z,2023-06-16T09:16:36.557000Z,2023-06-16T09:16:37.443000,2023-06-16T09:16:37.413685Z,945,C14AO3VL,603,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
648c24dd4587e16daa082372,613a8fbbdb47cba39c6c246d,APPROVED,2023-06-16T09:01:52.826000Z,2023-06-16T09:17:59.894000Z,2023-06-16T09:18:08.182000Z,2023-06-16T09:18:16.681992Z,968,C14AO3VL,133,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
